wall_time,fusion_id,trigger_source,trigger_stamp,camera_found,lidar_found,gps_found,gps_interpolated,imu_found,depth_found,odom_found,camera_delta_ms,lidar_delta_ms,imu_delta_ms,depth_delta_ms,odom_delta_ms,gps_delta_ms,fusion_latency_ms
1786563822573,1,lidar,18114.813786560,0,1,0,0,0,0,0,-1.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.0167
1786563823543,2,lidar,18115.813779560,0,1,0,0,0,0,0,-1.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.0035
1786563824539,3,lidar,18116.813796560,0,1,0,0,0,0,0,-1.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.0058
1786563825815,4,camera,1775762839.762356997,1,0,1,0,1,0,1,0.0000,-1.0000,3.0119,-1.0000,0.0000,1276.6332,0.0585
1786563826147,5,camera,1775762840.096102238,1,0,1,0,1,0,1,0.0000,-1.0000,5.8917,-1.0000,0.0000,1610.3782,0.0737
1786563826480,6,camera,1775762840.429094076,1,0,1,0,1,0,1,0.0000,-1.0000,0.4078,-1.0000,0.0000,1943.3702,0.0751
1786563826552,7,lidar,18118.813787560,0,1,0,0,0,0,0,-1.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.0410
1786563826768,8,camera,1775762840.730301857,1,0,1,0,1,0,1,0.0000,-1.0000,2.2842,-1.0000,0.0000,2244.5782,0.0901
1786563827136,9,camera,1775762841.095865011,1,0,1,1,1,0,0,0.0000,-1.0000,6.1963,-1.0000,-1.0000,0.0000,0.1023
1786563827515,10,camera,1775762841.462614059,1,0,1,1,1,0,1,0.0000,-1.0000,1.8647,-1.0000,0.0000,0.0000,0.1341
1786563827832,11,camera,1775762841.795982122,1,0,1,1,1,0,1,0.0000,-1.0000,2.7867,-1.0000,0.0000,0.0000,0.1214
1786563828200,12,camera,1775762842.164587021,1,0,1,1,1,0,1,0.0000,-1.0000,3.9267,-1.0000,0.0000,0.0000,0.1705
1786563828603,13,camera,1775762842.562952995,1,0,1,1,1,0,1,0.0000,-1.0000,1.9018,-1.0000,0.0000,0.0000,0.2067
1786563828964,14,camera,1775762842.929486036,1,0,1,1,1,0,1,0.0000,-1.0000,3.7548,-1.0000,0.0000,0.0000,0.1369
1786563829269,15,camera,1775762843.229474068,1,0,1,1,1,0,1,0.0000,-1.0000,2.2778,-1.0000,0.0000,0.0000,0.1588
1786563829571,16,lidar,18121.813803560,0,1,0,0,0,0,0,-1.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.0680
1786563829638,17,camera,1775762843.596113205,1,0,1,0,1,0,1,0.0000,-1.0000,3.8768,-1.0000,0.0000,118.0809,0.1603
1786563829970,18,camera,1775762843.930206060,1,0,1,0,1,0,1,0.0000,-1.0000,5.8848,-1.0000,0.0000,452.1739,0.1705
1786563830311,19,camera,1775762844.262738228,1,0,1,0,1,0,1,0.0000,-1.0000,3.8082,-1.0000,0.0000,784.7059,0.1449
1786563830569,20,lidar,18122.813797560,0,1,0,0,0,0,0,-1.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.0815
1786563830644,21,camera,1775762844.596220970,1,0,1,0,1,0,1,0.0000,-1.0000,2.6598,-1.0000,99.9920,1118.1889,0.1651
1786563830980,22,camera,1775762844.930244207,1,0,1,0,1,0,0,0.0000,-1.0000,22.3428,-1.0000,-1.0000,1452.2119,0.1482
1786563831353,23,camera,1775762845.296236992,1,0,1,0,1,0,1,0.0000,-1.0000,2.0542,-1.0000,0.0000,1818.2049,0.2340
1786563831561,24,lidar,18123.813805560,0,1,0,0,0,0,0,-1.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.0935
1786563832402,25,camera,1775762846.363491058,1,0,1,1,1,0,1,0.0000,-1.0000,2.0352,-1.0000,0.0000,0.0000,0.1680
1786563833082,26,camera,1775762847.029734135,1,0,1,1,1,0,1,0.0000,-1.0000,4.5022,-1.0000,0.0000,0.0000,0.1898
1786563833835,27,camera,1775762847.796486139,1,0,1,1,1,0,1,0.0000,-1.0000,0.0327,-1.0000,0.0000,0.0000,0.2140
1786563834866,28,camera,1775762848.829722166,1,0,1,0,1,0,1,0.0000,-1.0000,7.5408,-1.0000,0.0000,346.6953,0.2006
1786563835204,29,camera,1775762849.163227081,1,0,1,0,1,0,1,0.0000,-1.0000,4.2233,-1.0000,0.0000,680.2003,0.2127
1786563835506,30,camera,1775762849.463235140,1,0,1,0,1,0,1,0.0000,-1.0000,0.3313,-1.0000,0.0000,980.2083,0.2287
1786563835913,31,camera,1775762849.863228083,1,0,1,0,1,0,1,0.0000,-1.0000,4.8757,-1.0000,0.0000,1380.2013,0.2063
1786563836267,32,camera,1775762850.229863167,1,0,1,0,1,0,1,0.0000,-1.0000,2.9207,-1.0000,0.0000,1746.8363,0.1432
1786563837003,33,camera,1775762850.963238239,1,0,1,1,1,0,1,0.0000,-1.0000,34.0168,-1.0000,0.0000,0.0000,0.2033
1786563837335,34,camera,1775762851.296732187,1,0,1,1,1,0,1,0.0000,-1.0000,4.7667,-1.0000,0.0000,0.0000,0.2222
1786563837550,35,lidar,18129.813795560,0,1,0,0,0,0,0,-1.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.1074
1786563837705,36,camera,1775762851.663484097,1,0,1,1,1,0,1,0.0000,-1.0000,4.9028,-1.0000,0.0000,0.0000,0.1599
1786563838406,37,camera,1775762852.363646030,1,0,1,1,1,0,1,0.0000,-1.0000,3.5623,-1.0000,0.0000,0.0000,0.2084
1786563838571,38,lidar,18130.813798560,0,1,0,0,0,0,0,-1.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.0950
1786563838736,39,camera,1775762852.696860075,1,0,1,1,1,0,1,0.0000,-1.0000,2.4863,-1.0000,0.0000,0.0000,0.2517
1786563839084,40,camera,1775762853.029834032,1,0,1,1,1,0,1,0.0000,-1.0000,1.3622,-1.0000,0.0000,0.0000,0.2535
1786563839447,41,camera,1775762853.397176981,1,0,1,1,1,0,1,0.0000,-1.0000,1.0708,-1.0000,0.0000,0.0000,0.2587
1786563839811,42,camera,1775762853.762989044,1,0,1,0,1,0,1,0.0000,-1.0000,0.6922,-1.0000,0.0000,288.9994,0.2550
1786563840508,43,camera,1775762854.464344978,1,0,1,0,1,0,1,0.0000,-1.0000,4.0662,-1.0000,0.0000,990.3554,0.2584
1786563840835,44,camera,1775762854.799283981,1,0,1,0,1,0,1,0.0000,-1.0000,1.3228,-1.0000,0.0000,1325.2944,0.2571
1786563841201,45,camera,1775762855.163236141,1,0,1,0,1,0,1,0.0000,-1.0000,2.7698,-1.0000,0.0000,1689.2464,0.2567
1786563841583,46,camera,1775762855.530358076,1,0,1,0,1,0,1,0.0000,-1.0000,2.3168,-1.0000,0.0000,2056.3684,0.2489
1786563841933,47,camera,1775762855.864952087,1,0,1,0,1,0,1,0.0000,-1.0000,0.2442,-1.0000,0.0000,2390.9624,0.1971
1786563842278,48,camera,1775762856.230488062,1,0,1,1,1,0,1,0.0000,-1.0000,0.2518,-1.0000,0.0000,0.0000,0.3100
1786563842584,49,camera,1775762856.530781984,1,0,1,1,1,0,1,0.0000,-1.0000,1.0867,-1.0000,0.0000,0.0000,0.3768
1786563843258,50,camera,1775762857.198226213,1,0,1,1,1,0,1,0.0000,-1.0000,2.2227,-1.0000,0.0000,0.0000,0.2824
1786563843573,51,camera,1775762857.530552149,1,0,1,1,1,0,1,0.0000,-1.0000,0.8783,-1.0000,0.0000,0.0000,0.2860
1786563843593,52,lidar,18135.813794560,0,1,0,0,0,0,0,-1.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.1385
1786563843940,53,camera,1775762857.897123098,1,0,1,1,1,0,1,0.0000,-1.0000,0.2368,-1.0000,0.0000,0.0000,0.2875
1786563844231,54,camera,1775762858.197108030,1,0,1,1,1,0,1,0.0000,-1.0000,1.3868,-1.0000,0.0000,0.0000,0.1838
1786563844549,55,camera,1775762858.497236967,1,0,1,0,1,0,1,0.0000,-1.0000,2.3842,-1.0000,0.0000,5.7876,0.3275
1786563844577,56,lidar,18136.813788560,0,1,0,0,0,0,0,-1.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.0956
1786563844846,57,camera,1775762858.797358990,1,0,1,0,1,0,0,0.0000,-1.0000,3.6297,-1.0000,-1.0000,305.9096,0.2549
1786563845193,58,camera,1775762859.130976915,1,0,1,0,1,0,1,0.0000,-1.0000,4.3017,-1.0000,0.0000,639.5276,0.2933
