wall_time,fusion_id,trigger_source,trigger_stamp,camera_found,lidar_found,gps_found,imu_found,depth_found,odom_found,vel_found,rgb_raw_camera_info_found,stereo_found,camera_delta_ms,lidar_delta_ms,imu_delta_ms,depth_delta_ms,odom_delta_ms,gps_delta_ms,vel_delta_ms,rgb_raw_camera_info_delta_ms,stereo_delta_ms,fusion_latency_ms
1788948123943,1,depth,1775762838.728984118,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,0.7221,0.0000,0.0000,243.2602,230.2144,0.0000,0.0000,0.0809
1788948124275,2,depth,1775762839.395842075,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,0.3783,0.0000,0.0000,75.4815,97.3260,0.0000,0.0000,0.0699
1788948124643,3,depth,1775762839.762356997,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,3.0119,0.0000,0.0000,291.0335,269.1890,0.0000,0.0000,0.0777
1788948124977,4,depth,1775762840.096102238,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,5.8917,0.0000,0.0000,624.7785,602.9340,0.0000,0.0000,0.0852
1788948125404,5,depth,1775762840.429094076,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,0.4078,0.0000,0.0000,45.0486,60.8187,0.0000,0.0000,0.0941
1788948125678,6,depth,1775762840.730301857,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,2.2842,0.0000,0.0000,256.1594,240.3893,0.0000,0.0000,0.1159
1788948126121,7,depth,1775762841.095865011,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,6.1963,0.0000,0.0000,621.7224,605.9523,0.0000,0.0000,0.1066
1788948126467,8,depth,1775762841.462614059,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,1.8647,0.0000,0.0000,73.2378,96.1714,0.0000,0.0000,0.1176
1788948126888,9,depth,1775762841.795982122,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,2.7867,0.0000,0.0000,260.1302,237.1966,0.0000,0.0000,0.1329
1788948127642,10,depth,1775762842.164587021,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,3.9267,0.0000,0.0000,316.1510,339.0047,0.0000,0.0000,0.1511
1788948127655,11,depth,1775762842.562952995,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,1.9018,0.0000,0.0000,82.2150,59.3613,0.0000,0.0000,0.1397
1788948128013,12,depth,1775762842.929486036,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,3.7548,0.0000,0.0000,448.7480,425.8943,0.0000,0.0000,0.1401
1788948128381,13,depth,1775762843.229474068,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,2.2778,0.0000,0.0000,248.5581,263.8622,0.0000,0.0000,0.2177
1788948128847,14,depth,1775762843.596113205,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,3.8768,0.0000,0.0000,118.0809,102.7768,0.0000,0.0000,0.2007
1788948129220,15,depth,1775762843.930206060,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,5.8848,0.0000,0.0000,452.1739,436.8698,0.0000,0.0000,0.1430
1788948129583,16,depth,1775762844.262738228,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,3.8082,0.0000,0.0000,784.7059,769.4018,0.0000,0.0000,0.1726
1788948129949,17,depth,1775762844.596220970,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,2.6598,0.0000,99.9920,1118.1889,1102.8848,0.0000,0.0000,0.1422
1788948130383,18,depth,1775762844.930244207,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,22.3428,0.0000,0.0000,1452.2119,1436.9078,0.0000,0.0000,0.1514
1788948130768,19,depth,1775762845.296236992,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,2.0542,0.0000,0.0000,282.5946,304.8991,0.0000,0.0000,0.1511
1788948131056,20,depth,1775762845.663090229,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,4.8288,0.0000,0.0000,84.2584,61.9539,0.0000,0.0000,0.1560
1788948131404,21,depth,1775762845.996358156,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,3.4768,0.0000,0.0000,417.5264,395.2219,0.0000,0.0000,0.1532
1788948131777,22,depth,1775762846.363491058,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,2.0352,0.0000,0.0000,107.2471,125.2367,0.0000,0.0000,0.1579
1788948132166,23,depth,1775762846.696230173,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,3.7162,0.0000,0.0000,225.4919,207.5023,0.0000,0.0000,0.1572
1788948132600,24,depth,1775762847.029734135,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,4.5022,0.0000,0.0000,558.9959,541.0063,0.0000,0.0000,0.1559
1788948133034,25,depth,1775762847.463104963,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,4.1887,0.0000,0.0000,20.1281,37.1971,0.0000,0.0000,0.1622
1788948133410,26,depth,1775762847.796486139,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,0.0327,0.0000,0.0000,313.2529,296.1839,0.0000,0.0000,0.1838
1788948133804,27,depth,1775762848.163122892,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,1.9243,0.0000,0.0000,319.9037,338.7348,0.0000,0.0000,0.1554
1788948134084,28,depth,1775762848.463243961,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,1.8547,0.0000,0.0000,19.7827,38.6138,0.0000,0.0000,0.1777
1788948134453,29,depth,1775762848.829722166,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,7.5408,0.0000,0.0000,346.6953,327.8642,0.0000,0.0000,0.1674
1788948134724,30,depth,1775762849.163227081,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,4.2233,0.0000,0.0000,680.2003,661.3692,0.0000,0.0000,0.1888
1788948135084,31,depth,1775762849.463235140,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,0.3313,0.0000,0.0000,980.2083,961.3772,0.0000,0.0000,0.1606
1788948135488,32,depth,1775762849.863228083,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,4.8757,0.0000,0.0000,33.6154,14.1945,0.0000,0.0000,0.2013
1788948135938,33,depth,1775762850.229863167,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,2.9207,0.0000,0.0000,238.2917,256.7639,0.0000,0.0000,0.1847
1788948136290,34,depth,1775762850.596729994,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,4.3313,0.0000,0.0000,128.5753,110.1031,0.0000,0.0000,0.1996
1788948136598,35,depth,1775762850.963238239,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,3.6268,0.0000,0.0000,495.0833,476.6111,0.0000,0.0000,0.1743
1788948136978,36,depth,1775762851.296732187,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,5.3633,0.0000,0.0000,173.2576,188.2652,0.0000,0.0000,0.1810
1788948137421,37,depth,1775762851.663484097,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,4.9028,0.0000,0.0000,193.4944,178.4868,0.0000,0.0000,0.1847
1788948137756,38,depth,1775762851.997465134,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,4.5938,0.0000,0.0000,527.4754,512.4678,0.0000,0.0000,0.1846
1788948138140,39,depth,1775762852.363646030,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,3.5623,0.0000,0.0000,196.0682,232.4837,0.0000,0.0000,0.2117
1788948138423,40,depth,1775762852.696860075,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,2.4863,0.0000,0.0000,137.1458,100.7303,0.0000,0.0000,0.1887
1788948138818,41,depth,1775762853.029834032,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,1.3622,0.0000,0.0000,470.1198,433.7043,0.0000,0.0000,0.1923
1788948139230,42,depth,1775762853.397176981,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,1.0708,0.0000,0.0000,76.8126,93.9543,0.0000,0.0000,0.1994
1788948139632,43,depth,1775762853.762989044,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,0.6922,0.0000,0.0000,288.9994,271.8577,0.0000,0.0000,0.1941
1788948139914,44,depth,1775762854.097015142,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,1.2488,0.0000,0.0000,623.0254,605.8837,0.0000,0.0000,0.2091
1788948140348,45,depth,1775762854.464344978,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,4.0662,0.0000,0.0000,36.2621,62.2042,0.0000,0.0000,0.2036
1788948140774,46,depth,1775762854.799283981,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,1.3228,0.0000,0.0000,298.6769,272.7348,0.0000,0.0000,0.1990
1788948141143,47,depth,1775762855.163236141,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,2.7698,0.0000,0.0000,662.6289,636.6868,0.0000,0.0000,0.2208
1788948141408,48,depth,1775762855.530358076,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,2.3168,0.0000,0.0000,52.5173,69.3882,0.0000,0.0000,0.3029
1788948141768,49,depth,1775762855.864952087,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,0.2442,0.0000,0.0000,282.0767,265.2058,0.0000,0.0000,0.3147
1788948142094,50,depth,1775762856.230488062,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,0.2518,0.0000,0.0000,239.1019,265.9558,0.0000,0.0000,0.1963
1788948142499,51,depth,1775762856.530781984,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,1.0867,0.0000,0.0000,61.1921,34.3382,0.0000,0.0000,0.2259
1788948142914,52,depth,1775762856.863922119,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,2.2367,0.0000,0.0000,394.3321,367.4782,0.0000,0.0000,0.2053
1788948143707,53,depth,1775762857.198226213,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,2.2227,0.0000,0.0000,285.4070,303.4457,0.0000,0.0000,0.3097
1788948144019,54,depth,1775762857.897123098,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,0.2368,0.0000,0.0000,413.4900,395.4513,0.0000,0.0000,0.2306
1788948144760,55,depth,1775762858.197108030,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,1.3868,0.0000,0.0000,294.3414,318.6947,0.0000,0.0000,0.2634
1788948144765,56,depth,1775762858.497236967,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,2.3842,0.0000,0.0000,5.7876,18.5657,0.0000,0.0000,0.1931
1788948145175,57,depth,1775762858.797358990,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,3.6297,0.0000,0.0000,305.9096,281.5563,0.0000,0.0000,0.2401
1788948145800,58,depth,1775762859.130976915,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,4.3017,0.0000,0.0000,341.5151,368.0465,0.0000,0.0000,0.2329
1788948145810,59,depth,1775762859.463865995,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,0.6377,0.0000,0.0000,8.6261,35.1575,0.0000,0.0000,0.2795
1788948146214,60,depth,1775762859.830748081,1,0,1,1,1,1,1,0,1,0.0000,-1.0000,4.0968,0.0000,0.0000,358.2559,331.7245,-1.0000,0.0000,0.2858
1788948146570,61,depth,1775762860.197488070,1,0,1,1,1,1,1,0,1,0.0000,-1.0000,3.2668,0.0000,162.7500,275.2253,299.2237,-1.0000,0.0000,0.2191
1788948146878,62,depth,1775762860.499908209,1,0,1,1,1,1,1,0,1,0.0000,-1.0000,1.0482,0.0000,0.0000,27.1947,3.1963,-1.0000,0.0000,0.2225
1788948147236,63,depth,1775762860.797497034,1,0,1,1,1,1,1,0,1,0.0000,-1.0000,0.0542,0.0000,0.0000,324.7837,300.7853,-1.0000,0.0000,0.2759
1788948147650,64,depth,1775762861.164115906,1,0,1,1,1,1,1,0,1,0.0000,-1.0000,6.0802,0.0000,0.0000,314.3816,331.3161,-1.0000,0.0000,0.2452
1788948148013,65,depth,1775762861.464257956,0,0,1,1,1,1,1,0,1,-1.0000,-1.0000,2.5332,0.0000,0.0000,14.2396,31.1741,-1.0000,0.0000,0.2382
1788948148305,66,depth,1775762861.764244080,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,0.8578,0.0000,0.0000,285.7464,268.8119,0.0000,0.0000,0.2230
1788948148700,67,depth,1775762862.064860106,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,4.8788,0.0000,0.0000,586.3624,569.4279,0.0000,0.0000,0.2478
1788948149112,68,depth,1775762862.397688150,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,0.5518,0.0000,0.0000,78.4044,106.4413,0.0000,0.0000,0.2496
1788948149474,69,depth,1775762862.731512070,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,2.2908,0.0000,0.0000,255.4196,227.3827,0.0000,0.0000,0.2466
1788948149843,70,depth,1775762863.064367056,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,3.0608,0.0000,0.0000,588.2746,560.2377,0.0000,0.0000,0.2313
1788948150558,71,depth,1775762863.364387989,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,3.4557,0.0000,0.0000,108.1843,128.8497,0.0000,0.0000,0.2433
1788948150928,72,depth,1775762864.031114101,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,0.2447,0.0000,0.0000,558.5417,537.8763,0.0000,0.0000,0.2703
1788948151634,73,depth,1775762864.398462057,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,4.9558,0.0000,0.0000,76.4955,96.3630,0.0000,0.0000,0.2614
1788948151643,74,depth,1775762864.697625160,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,2.3137,0.0000,0.0000,222.6675,202.8000,0.0000,0.0000,0.2809
1788948152449,75,depth,1775762865.032504082,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,0.8078,0.0000,0.0000,450.6122,468.0105,0.0000,0.0000,0.2989
1788948152451,76,depth,1775762865.331001043,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,0.4698,0.0000,0.0000,152.1152,169.5135,0.0000,0.0000,0.2625
1788948153122,77,depth,1775762865.664516211,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,2.2273,0.0000,0.0000,181.3998,164.0015,0.0000,0.0000,0.2953
1788948153439,78,depth,1775762866.297865868,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,0.0802,0.0000,0.0000,174.6452,192.1068,0.0000,0.0000,0.2966
1788948153775,79,depth,1775762866.632082224,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,4.9108,0.0000,0.0000,159.5708,142.1092,0.0000,0.0000,0.2637
1788948154998,80,depth,1775762866.997498035,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,1.9507,0.0000,0.0000,528.5992,562.7875,0.0000,0.0000,0.2646
1788948155022,81,depth,1775762867.331611156,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,2.9373,0.0000,0.0000,194.4862,228.6745,0.0000,0.0000,0.3565
1788948155377,82,depth,1775762868.064747095,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,3.4167,0.0000,0.0000,538.6498,504.4615,0.0000,0.0000,0.2722
1788948155753,83,depth,1775762868.398113966,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,3.2578,0.0000,0.0000,67.2058,87.3326,0.0000,0.0000,0.2672
1788948156143,84,depth,1775762868.731498957,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,0.1797,0.0000,0.0000,266.1792,246.0524,0.0000,0.0000,0.2806
1788948156848,85,depth,1775762869.097985029,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,1.6263,0.0000,0.0000,377.1347,400.9566,0.0000,0.0000,0.2860
1788948157280,86,depth,1775762869.931363106,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,3.3532,0.0000,0.0000,456.2433,432.4214,0.0000,0.0000,0.4629
1788948157660,87,depth,1775762870.265211105,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,1.5902,0.0000,0.0000,203.5365,234.0232,0.0000,800.3430,0.4753
1788948158033,88,depth,1775762870.631622076,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,0.2192,0.0000,0.0000,162.8745,132.3878,0.0000,0.0000,0.2905
1788948158428,89,depth,1775762870.965173960,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,1.2478,0.0000,0.0000,496.4265,465.9398,0.0000,0.0000,0.3826
